UPC	DESC
87874000348?	 Yellow Paper Aprons
40108001552?	 Yellow Cutters
07344100564?	 White Disposal Safety Cutters
60630100435?	 Ciabatta Sandwich Bags (7x7x3 In Lip Food Bag)
84299903376?	 "Kroger 10x8 Slider Bag ""Fresh for Everyone"""
84299903375?	 "PS 10x8 Slider Bag ""Elevate Everything"""
84264404648?	 Deli Kiosk Carry Out Bag  (Clear Loop Bag)
40106000636?	 Hot Meal To Go Tote Bag
84299903244?	 13x10 Antimicrobial Bag
84299903243?	 15x13 Antimicrobial Bag
084264408024	 Home Chef Deli Tote Bag 8x6x16 Clear Flat Bottom
04116527756?	 22oz Solo Flat Lid
04159450023?	 32oz Dart Lid 
00031115462?	 Straws 10.25 inc Clear Wrapped     Not Available
69659900081?	 8 oz Round Bowl w/Lid (Hot Side Micro)
01619405898?	 80 oz Round Bowl w/Lid
07602636914?	 48 oz Square Cup w/Lid
079429793067	 12oz HC Soup Cup w/Lid
079429793068	 16oz HC Soup Cup w/Lid
079429793069	 32 oz HC Soup Cup w/Lid
84299903381?	 Rtsri Bag Garlic&Herb Chicken
84299903380?	 Popcorn Chicken Bag 9x4.5
84299903382?	 Rtsri Bag Savory Chicken Bag 32oz
84299903390?	 Lemon Pepper Bag 12.75x8.25    Seasonal LTO
84299903337?	 Mesquite BBQ Bag      Seasonal LTO
01619406660?	 ST Rstd Chicken Dome (Med Rotiss Chicken Cont)
71446248167?	 ST Rstd Chicken Sleeve
01619409926?	 Chicken Barn 4pc No Hand Combo (Chicken Tenders)
71446248165?	 5pc Chicken Tender Sleeve
85750300625?	 Chicken Box 24 PCS
85750300650?	 Chicken Box 48 PCS
70728233314?	 Chicken Box 98 Pcs (10 lb Box)
01619407173?	 Colossal Roasted Chicken Container 
07218172745?	 8pc Fried Chicken Box Liner (9x12 Powerprep Wrap)
71446248182?	 8pc Fried Chicken Box Hm Chf
01619407962?	 8 pc Chicken Hinged Container  (MD Salad Clamshell 9x9)
01619414768?	 Chicken Barn 8pc Hot and 20ct Wings
71446248182?	 Home Chef 8 pc Fried Chicken Box
07218172745?	 9X12 POWER PREP WRAP (Box Liner)
71446248177?	 8pc Fried Chicken Sleeve
71446248163?	 8 pc Baked Chicken Sleeve
71446248178?	 8 pc Spicy Chicken Sleeve
79429783998?	 Chicken Wing Bucket w/Lid 54oz
01619412379?	 8oz TE Rectangular Container
01619412380?	 12oz Rectangular TE (TS12)
01619412362?	 16oz Regular TE  (TS16)  (Popcorn & Pulled Chkn)
01619411785?	 24oz TE Hinged Lid Deli (TS24)
01619411786?	 32oz TE Hinged Lid Deli (TS32)
01619413239?	 35oz Rectangular TE (TS35)  (5pc Cold Tenders)
01619413236?	 35oz Rectangular TE w/Dm Lid (5pc Cold  Tndr)
01619413229?	 64oz Rectangular TE w/Dome Lid (8 Pc Cold Spicy Chkn)
00003767225?	 "Deviled Egg Container with Dome
00003795333?	 "Deviled Egg Container with Dome
40108051103?	 Deviled Egg Tray 24ct
04920202213?	 4oz Hot Side Dish Container
04920202219?	 Lid For 4oz/16oz Side Container
04920202367?	 16oz Side Dish Container (for sides with handle)
01619406351?	 Black Medium Microwavable Tray - 24oz.
01619405691?	 Clear Lid for Black Tray – 16/24oz.  
84264402901?	 Deli Take Out Carton #1
84264402892?	 Deli Take Out Carton #3
84264402898?	 Deli Take Out Carton #8
04159421296?	 Large White Styrofoam 3 comp container (steamtable)
74938497533?	 Macaroni & Chs (Alum Tray w/Flat Lid)
74938498904?	 Macaroni & ChS (Blk/Gold Cont w/Dome Lid)
00003709334?	 "Microwave Side Container
00003715497?	 "Oval Side Container Black
00003708013?	 "Sandwich w/fold
00003723855?	 "Sandwich Wedge Containers
07144648172?	 HC St. Louis Rib Sleeve
84299903383?	 Turkey Breast Bag 13.5x7.5
01619407051?	 Full Slab Container HOT  (Lrg Plastic Cont w/Dome)
01619407050?	 Half Slab Container HOT (Med Rib Cont w/Dome) 
79429783998?	 9 CT Rib Bucket  (Wing Bucket w/Lid 54oz)
