"014 - Cincinnati Operating Division, 01 - Grocery Display Plan",,,,,,,,,,,,,,,
2024 PD 1 WK 2 (2),,,,,,,,,,,,,,,
"Feb 14, 2024 - Feb 20, 2024",,,,,,,,,,,,,,,
Display Section Name,Priority,Subtype,UPC/GTIN,Barcode,Description,Size,Retail,Event Participation,Retail Runs Thru,Display Start,Display End,ESI Qty,ESI Pack,ESI Delivery Date,
Dairy Displays - Bunker,,,,,,,,,,,,,,,
Dairy Displays - BUNKER,1,main,,,YOPLAIT SS CORE CUP(EXCL 615) 6.00 OZ,6.00 OZ,10 for $6,,P1W3,P1W2,P1W3,,,,
,,,0007047000300,,YPLT LF STRAWBERRY YOGURT,6 OZ,,,,,,2,12,02/15/2024,
,,,0007047000323,,YPLT LF FRNCH VANLLA YGRT,6 OZ,,,,,,2,12,02/15/2024,
,,,0007047000307,,YPLT LF HARVST PEACH YGRT,6 OZ,,,,,,2,12,02/15/2024,
,,,0007047000313,,YPLT LF STRWBRRY BAN YGRT,6 OZ,,,,,,2,12,02/15/2024,
,,,0007047000319,,YPLT LF ORANGE CREAM YGRT,6 OZ,,,,,,,,,
,,,0007047000303,,YPLT LF CHRRY ORCHRD YGRT,6 OZ,,,,,,2,12,02/15/2024,
Dairy Displays - BUNKER,2,main,,,KROGER BAR& SHRD WDD NET $5.99 (EX 705) 32 OZ,32 OZ,$7.99,WDD P1W2 - 2024,P1W2,P1W2,P1W2,,,,
,,,0001111058913,,KRO 4 CHEESE MEXICAN SHRD,32 OZ,,,,,,5,12,02/12/2024,
,,,0001111058913,,KRO 4 CHEESE MEXICAN SHRD,32 OZ,,,,,,2,12,02/15/2024,
,,,0001111058913,,KRO 4 CHEESE MEXICAN SHRD,32 OZ,,,,,,2,12,02/17/2024,
,,,0001111058769,,KRO CHEDDAR JACK SHREDDED,32 OZ,,,,,,3,12,02/12/2024,
,,,0001111058769,,KRO CHEDDAR JACK SHREDDED,32 OZ,,,,,,2,12,02/15/2024,
,,,0001111058769,,KRO CHEDDAR JACK SHREDDED,32 OZ,,,,,,1,12,02/17/2024,
,,,0001111058604,,KRO SHRP CHEDR CHEESE BAR,32 OZ,,,,,,1,12,02/12/2024,
,,,0001111058604,,KRO SHRP CHEDR CHEESE BAR,32 OZ,,,,,,1,12,02/15/2024,
,,,0001111059670,,KRO MILD CHEDDAR SHREDDED,32 OZ,,,,,,3,12,02/12/2024,
,,,0001111059670,,KRO MILD CHEDDAR SHREDDED,32 OZ,,,,,,2,12,02/15/2024,
,,,0001111059670,,KRO MILD CHEDDAR SHREDDED,32 OZ,,,,,,2,12,02/17/2024,
,,,0001111059669,,KRO MOZZARELLA CHS SHRED,32 OZ,,,,,,4,12,02/12/2024,
,,,0001111059669,,KRO MOZZARELLA CHS SHRED,32 OZ,,,,,,2,12,02/15/2024,
,,,0001111059669,,KRO MOZZARELLA CHS SHRED,32 OZ,,,,,,1,12,02/17/2024,
,,,0001111059671,,KRO SHARP CHEDDAR SHRED,32 OZ,,,,,,2,12,02/12/2024,
,,,0001111059671,,KRO SHARP CHEDDAR SHRED,32 OZ,,,,,,2,12,02/15/2024,
,,,0001111058755,,KRO COLBY JACK CHEESE BAR,32 OZ,,,,,,2,12,02/12/2024,
,,,0001111058755,,KRO COLBY JACK CHEESE BAR,32 OZ,,,,,,1,12,02/15/2024,
,,,0001111058755,,KRO COLBY JACK CHEESE BAR,32 OZ,,,,,,1,12,02/17/2024,
,,,0001111058603,,KRO MLD CHEDDR CHEESE BAR,32 OZ,,,,,,1,12,02/12/2024,
,,,0001111058603,,KRO MLD CHEDDR CHEESE BAR,32 OZ,,,,,,1,12,02/15/2024,
,,,0001111058600,,KRO LM SKIM MZRL CHS BAR,32 OZ,,,,,,1,12,02/12/2024,
,,Tie-In,,,PHILLY SOFT CREAM CHEESE 2-PACK WDD$5.99 16.00 OZ,16.00 OZ,$7.99,WDD P1W2 - 2024,P1W2,P1W2,P1W2,,,,
,,,0002100008317,,PHLY ORIG CRM CHS SPD 2PK,2/8 OZ,,,,,,2,6,02/12/2024,
,,,0002100008317,,PHLY ORIG CRM CHS SPD 2PK,2/8 OZ,,,,,,2,6,02/15/2024,
,,,0002100008320,,PHLY ORIG STRW CRM CH 2PK,2/8 OZ,,,,,,2,6,02/12/2024,
,,,0002100008320,,PHLY ORIG STRW CRM CH 2PK,2/8 OZ,,,,,,1,6,02/15/2024,
Dairy Displays - BUNKER,3,main,,,INTERNATIONAL DELIGHT CREAMER 32 FO,32 FO,2 for $7,,P1W3,P1W2,P1W3,,,,
,,,0004127102564,,INTD FRNCH VNLLA CRMR,32 FO,,,,,,2,12,02/15/2024,
,,,0004127100472,,INTD CLD STN SWT CRM CRMR,32 FO,,,,,,2,6,02/15/2024,
,,,0004127100955,,INTD CRML MCCHTO CREAMER,32 FO,,,,,,2,12,02/15/2024,
,,,0004127102502,,INTD HRSHY CHOC CRML CRMR,32 FO,,,,,,2,6,02/15/2024,
,,,0004127102568,,INTD HAZELNUT CREAMER,32 FO,,,,,,2,12,02/15/2024,
,,Tie-In,,,SARGENTO BALANCED BREAKS(EX 090)(INCLUDE FUN BREAK 4.50 OZ,4.50 OZ,2 for $7,,P2W4,P1W2,P2W4,,,,
,,,0004610000941,,SRGNTO BBRK CHDR CSHW CRN,3/1.5 OZ,,,,,,,,,
,,,0004610000968,,SRGNTO BBRK MNTJK BN CRN,3/1.5 OZ,,,,,,,,,
,,,0004610035341,,SRGNTO BRKS WHT THINS,4.5 OZ,,,,,,,,,
,,,0004610035403,,SRGNTO BRKS RITZ,4.5 OZ,,,,,,,,,
,,,0004610000940,,SRGNTO BBRK CHDR ALMD CRN,3/1.5 OZ,,,,,,,,,
